,source,base,target,U,distance
0,LO-1,VO-1,VO-1,"[[ 0.91150767  0.41128317]
 [-0.41128317  0.91150767]]",0.6912267
1,LO-2,VO-1,VO-1,"[[-0.9521408  0.3056597]
 [-0.3056597 -0.9521408]]",0.741836
2,PHC-1,VO-1,VO-1_flipped,"[[ 0.88623598 -0.46323406]
 [ 0.46323406  0.88623598]]",0.5262391
3,PHC-2,VO-1,VO-1_flipped,"[[-0.95841751 -0.28536972]
 [ 0.28536972 -0.95841751]]",0.70174617
4,TO-1,VO-1,VO-1,"[[ 0.78514135  0.61931664]
 [-0.61931664  0.78514135]]",0.7769658
5,TO-2,VO-1,VO-1_flipped,"[[ 0.96880933 -0.24780734]
 [ 0.24780734  0.96880933]]",0.7950894
6,V1,VO-1,VO-1_flipped,"[[-0.99951696 -0.03107797]
 [ 0.03107797 -0.99951696]]",0.48341608
7,V2,VO-1,VO-1,"[[-0.2404708 -0.9706564]
 [ 0.9706564 -0.2404708]]",0.52363616
8,V3,VO-1,VO-1,"[[-0.3615422  0.9323557]
 [-0.9323557 -0.3615422]]",0.42678258
9,VO-2,VO-1,VO-1,"[[-0.9823691   0.18695179]
 [-0.18695179 -0.9823691 ]]",0.6303238
10,hV4,VO-1,VO-1_flipped,"[[ 0.91100563  0.41239392]
 [-0.41239392  0.91100563]]",0.60009533
