,V1,V2,V3,hV4,VO-1,VO-2,PHC-1,PHC-2,LO-1,LO-2,TO-1,TO-2
subj01,0.10653129633059005,0.12513017998895087,0.16997740803359526,0.16972121517911176,0.04026895530649969,0.029620369018949325,-0.00011521239489040142,0.5730709693493083,0.03557582618758662,0.2221950619454515,0.7028826942344693,0.22453205323529102
subj02,0.14823229483383552,0.01951904742492096,0.12472977195297891,-0.015303577692983978,-3.234977131994436e-05,-0.03447971284683625,0.01678204848767654,0.41139642074190497,0.2888884964634758,0.17429642895436892,0.33494005691796647,-0.043099743327664954
subj03,-0.09952413977994415,-0.04645822358378646,-0.3845903250445347,-0.1123001640903058,0.11396593373264138,-0.07804993201333556,0.21830355119913122,0.2042495749753512,-0.23422138521057417,0.06048252440547843,0.302321381908382,0.07904419439305989
subj04,0.02513941176984216,0.006226947939634889,-0.0688588088165609,-0.2049959970675889,-0.16978181932699762,-0.2630924335027416,-0.21870370010214266,-0.10574951620320139,-0.21921655800994358,-0.3320262244849457,0.9196414340786471,-3.1709734796783775
subj05,0.005966480769550912,0.0630843631350115,0.005922202801949447,-0.029090894425851492,-0.07145744621576289,0.07687124437694293,0.42689625969065087,0.6356939268997263,0.06662843311698999,0.03637393429837028,0.3208675202717193,0.30785127129167844
subj06,0.025603381033779987,0.04884434750859786,-0.004406461822358972,-0.10093614409417323,-0.025068235234611425,0.018718507626998396,-0.20363522721884736,0.14548747541425552,0.17977468445403852,0.45868461964474916,0.7476538775460114,-0.05706500787533154
subj07,-0.010829056111484044,-0.20935262973839586,-0.5237230248862053,-0.8121258179085558,0.05421064403644528,-0.2889207715845509,-0.42809020541150866,-0.3287478932047496,-3.795725452976578,-0.00125149762712048,0.02373567280936743,-0.013934519378544943
subj08,0.023309951042484706,-0.002438114422810873,-0.006767719569154687,-0.04041252974096242,-0.10440633969309744,-0.09664058113222931,-0.0116925696743671,0.2922348589013485,-0.9527560842053928,-0.013740477251164847,0.3193973502004732,-0.11295457811141794
