,V1,V2,V3,hV4,VO-1,VO-2,PHC-1,PHC-2,LO-1,LO-2,TO-1,TO-2
subj01,6.205749988555908,6.226126670837402,5.857494831085205,6.190687656402588,4.466398239135742,4.7357707023620605,3.995195150375366,5.257560729980469,5.866162300109863,4.516231060028076,1.7094310522079468,2.9219799041748047
subj02,6.349281311035156,5.157381534576416,6.828636646270752,4.618946075439453,3.655802011489868,3.6723825931549072,5.280153274536133,3.6579906940460205,3.0073606967926025,3.694284200668335,2.837475061416626,3.108410358428955
subj03,7.67578649520874,7.079166889190674,8.60206413269043,6.062644958496094,6.429433822631836,6.643435478210449,3.7494330406188965,2.7293856143951416,6.78040075302124,3.030735492706299,2.419581174850464,4.273874282836914
subj04,6.413686752319336,6.01763916015625,6.036785125732422,5.308798789978027,5.8225579261779785,5.620184421539307,3.6372220516204834,3.4023282527923584,4.731639385223389,5.382120132446289,3.1714730262756348,4.548220634460449
subj05,6.579365253448486,6.315240383148193,5.700531959533691,5.339012622833252,5.0175604820251465,5.43295955657959,4.780457019805908,1.9567670822143555,5.733706474304199,5.026065826416016,3.7852649688720703,3.9808189868927
subj06,5.222745895385742,5.6985931396484375,5.95218563079834,5.972328186035156,4.4192328453063965,5.264907360076904,5.1540398597717285,5.748018264770508,3.73928165435791,2.909576654434204,2.832818031311035,4.017024517059326
subj07,7.227909088134766,7.503448009490967,6.994675636291504,6.656364440917969,5.478148460388184,6.206923961639404,5.322403430938721,5.427018642425537,8.68968391418457,3.683997392654419,4.428128242492676,2.0152945518493652
subj08,5.904904365539551,6.861328125,6.690960884094238,6.668325424194336,4.938511371612549,4.922610759735107,3.988452911376953,2.177659273147583,5.211191177368164,3.060776710510254,4.461673259735107,5.056461334228516
