,V1,V2,V3,hV4,VO-1,VO-2,PHC-1,PHC-2,LO-1,LO-2,TO-1,TO-2
subj01,0.1684604281439625,0.14909742979423504,0.12883577699063337,0.06629623879051712,0.10530287594990148,0.0869504993333166,0.07532503177878216,0.08479307364976564,0.05726575898370364,0.09439952149976873,0.15874364008714875,0.13905927436981558
subj02,0.1895761703899403,0.15325398036314972,0.1260805767138587,0.14515222510666922,0.1061372154093057,0.11157066628683623,0.11809794875364656,0.11373578703261743,0.09318834498496502,0.10324763745475944,0.1336574796821782,0.09339499418996124
subj03,0.09748639869356492,0.07995908892698052,0.05241788664545734,0.047147039513309855,0.05869792574845782,0.06880988350249286,0.07225756896212893,0.05273087879862896,0.02932929071545918,0.05191559631391777,0.09962339834129268,0.07484077908425105
subj04,0.0767195929830345,0.09741063765327608,0.04780133645157391,0.04943226656541537,0.044352576549604596,0.05235132371494393,0.07422279731641448,0.07313174718385236,0.021203046317296963,0.041330025096750655,0.06592516737197478,0.025388556894314813
subj05,0.11454957075643553,0.10493467942631228,0.09543108962411456,0.1067866815686334,0.12096958309060563,0.10238952374339763,0.13226543393755605,0.19218962626112962,0.07235141714447145,0.11757016822777998,0.12874837237793474,0.18157517807649576
subj06,0.09786503965200244,0.08009483649466888,0.05473996966389444,0.05413324310404768,0.060136532851747776,0.07188019617994282,0.08423278522552077,0.10053343787376208,0.028832240003523874,0.06762713269704032,0.07997186007116792,0.02695964413332474
subj07,0.05616496188809117,0.051775945090831825,0.04327056385842644,0.04427518914609766,0.0638516745109143,0.04597254572236504,0.017388466315844658,0.025094920367316545,0.021718703783417743,0.0768360791868122,0.06000539464325243,0.08819885647789857
subj08,0.07846142336440648,0.05898807535531943,0.03809590372377541,0.04778508684251556,0.035363316225354435,0.043145811143346854,0.04506221126366422,0.028236605905257613,0.0226171884922713,0.03368482244751972,0.0161411483589687,0.04995768503358171
